Date,Site,colony_id,Species,Chamber,Sensor,Run,Temp.Cat,Chamber.Vol.end.ml,Chamber.Vol.start.ml,FIRe.File.No,Photo.number,Note
20261602,Papagayo,POC_26,Poccilopora,6,6,18,32,262,260,057,9899-9900,
20261602,Papagayo,POC_27,Poccilopora,7,7,18,32,266,260,059,9901-9902,
20261602,Papagayo,POC_28,Poccilopora,9,1,18,32,253,261,056,9903-9905,
20261602,Papagayo,bk6,Blank,8,8,18,32,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,18,32,272,272,,,
20261602,Papagayo,POR_34,Porites,14,b1,19,34,250,267,061,9935-9937,"At 14:11 the light went off, everything kept working. It came back at 14:13"
20261602,Papagayo,POR_35,Porites,15,b2,19,34,254,264,063,9928-9929,
20261602,Papagayo,POR_36,Porites,16,a3,19,34,250,266,062,9930-9932,
20261602,Papagayo,POR_38,Porites,13,b3,19,34,257,265,065,9933-9934,
20261602,Papagayo,POR_39,Porites,12,b4,19,34,263,271,064,9938-9939,
20261602,Papagayo,POC_24,Poccilopora,4,2,19,34,268,265,069,9924-9925,
20261602,Papagayo,POC_25,Poccilopora,5,5,19,34,264,256,066,9916-9918,
20261602,Papagayo,POC_26,Poccilopora,6,6,19,34,262,260,068,9922-9923,
20261602,Papagayo,POC_27,Poccilopora,7,7,19,34,266,260,070,9926-9927,
20261602,Papagayo,POC_28,Poccilopora,9,1,19,34,253,261,067,9919-9920,
20261602,Papagayo,bk6,Blank,8,8,19,34,272,272,,,
20261602,Papagayo,bk7,Blank,10,a1,19,34,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,20,22,261,271,8,9945-9946,
20261702,Papagayo,POC_21,Poccilopora,1,1,20,22,262,270,9,9941-9942,
20261702,Papagayo,POC_29,Poccilopora,9,7,20,22,254,261,7,9949-9950,
20261702,Papagayo,POC_22,Poccilopora,2,2,20,22,260,268,6,9943-9944,
20261702,Papagayo,POC_30,Poccilopora,4,6,20,22,264,271,10,9947-9948,
20261702,Papagayo,POR_32,Porites,12,b2,20,22,266,271,3,9960-9961,
20261702,Papagayo,POR_33,Porites,13,b3,20,22,258,265,1,9962-9963,
20261702,Papagayo,POR_37,Porites,7,a1,20,22,265,271,5,9953-9954,Litophaga was removed after this run
20261702,Papagayo,POC_31,Porites,11,b1,20,22,263,269,4,9955-9959,
20261702,Papagayo,POC_40,Porites,5,b4,20,22,262,270,2,9951-9952,
20261702,Papagayo,bk8,Blank,8,8,20,22,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,20,22,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,21,25,261,271,16,9968-9969,
20261702,Papagayo,POC_21,Poccilopora,1,1,21,25,262,270,18,9964-9965,
20261702,Papagayo,POC_29,Poccilopora,9,7,21,25,254,261,17,9974-9975,
20261702,Papagayo,POC_22,Poccilopora,2,2,21,25,260,268,19,9966-9967,
20261702,Papagayo,POC_30,Poccilopora,4,6,21,25,264,271,20,9970-9971,
20261702,Papagayo,POR_32,Porites,12,b2,21,25,266,271,13,9980-9981,
20261702,Papagayo,POR_33,Porites,13,b3,21,25,258,265,11,9982-9983,
20261702,Papagayo,POR_37,Porites,7,a1,21,25,265,271,14,9976-9977,
20261702,Papagayo,POC_31,Porites,11,b1,21,25,263,269,15,9978-9979,
20261702,Papagayo,POC_40,Porites,5,b4,21,25,262,270,12,9972-9973,
20261702,Papagayo,bk8,Blank,8,8,21,25,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,21,25,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,22,26,261,271,29,9989-9991,
20261702,Papagayo,POC_21,Poccilopora,1,1,22,26,262,270,30,9985-9986,
20261702,Papagayo,POC_29,Poccilopora,9,7,22,26,254,261,28,9994-9995,
20261702,Papagayo,POC_22,Poccilopora,2,2,22,26,260,268,27,9987-9988,
20261702,Papagayo,POC_30,Poccilopora,4,6,22,26,264,271,26,9992-9993,
20261702,Papagayo,POR_32,Porites,12,b2,22,26,266,271,24,0003-0004,
20261702,Papagayo,POR_33,Porites,13,b3,22,26,258,265,22,0005-0006,
20261702,Papagayo,POR_37,Porites,7,a1,22,26,265,271,21,9998-9999,
20261702,Papagayo,POC_31,Porites,11,b1,22,26,263,269,25,0001-0002,
20261702,Papagayo,POC_40,Porites,5,b4,22,26,262,270,23,9996-9997,
20261702,Papagayo,bk8,Blank,8,8,22,26,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,22,26,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,23,28,261,271,40,0011-0012,
20261702,Papagayo,POC_21,Poccilopora,1,1,23,28,262,270,39,0007-0008,
20261702,Papagayo,POC_29,Poccilopora,9,7,23,28,254,261,34,0015-0016,
20261702,Papagayo,POC_22,Poccilopora,2,2,23,28,260,268,38,0009-0010,
20261702,Papagayo,POC_30,Poccilopora,4,6,23,28,264,271,37,0013-0014,
20261702,Papagayo,POR_32,Porites,12,b2,23,28,266,271,32,0027-0029,
20261702,Papagayo,POR_33,Porites,13,b3,23,28,258,265,31,0023-0024,
20261702,Papagayo,POR_37,Porites,7,a1,23,28,265,271,35,0019-0022,
20261702,Papagayo,POC_31,Porites,11,b1,23,28,263,269,36,0017-0018,
20261702,Papagayo,POC_40,Porites,5,b4,23,28,262,270,33,0025-0026,
20261702,Papagayo,bk8,Blank,8,8,23,28,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,23,28,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,24,30,261,271,49,0034-0035,
20261702,Papagayo,POC_21,Poccilopora,1,1,24,30,262,270,48,0030-0031,
20261702,Papagayo,POC_29,Poccilopora,9,7,24,30,254,261,50,0032-0033,
20261702,Papagayo,POC_22,Poccilopora,2,2,24,30,260,268,45,0040-0041,
20261702,Papagayo,POC_30,Poccilopora,4,6,24,30,264,271,44,0036-0037,
20261702,Papagayo,POR_32,Porites,12,b2,24,30,266,271,41,0044-0045,
20261702,Papagayo,POR_33,Porites,13,b3,24,30,258,265,43,0048-0050,
20261702,Papagayo,POR_37,Porites,7,a1,24,30,265,271,47,0038-0039,
20261702,Papagayo,POC_31,Porites,11,b1,24,30,263,269,42,0046-0047,
20261702,Papagayo,POC_40,Porites,5,b4,24,30,262,270,46,0042-0043,
20261702,Papagayo,bk8,Blank,8,8,24,30,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,24,30,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,25,32,261,271,58,0055-0057,
20261702,Papagayo,POC_21,Poccilopora,1,1,25,32,262,270,60,0051-0052,
20261702,Papagayo,POC_29,Poccilopora,9,7,25,32,254,261,57,0058-0059,
20261702,Papagayo,POC_22,Poccilopora,2,2,25,32,260,268,56,0068-0069,
20261702,Papagayo,POC_30,Poccilopora,4,6,25,32,264,271,59,0053-0054,
20261702,Papagayo,POR_32,Porites,12,b2,25,32,266,271,51,0060-0061,
20261702,Papagayo,POR_33,Porites,13,b3,25,32,258,265,52,0062-0064,
20261702,Papagayo,POR_37,Porites,7,a1,25,32,265,271,54,0072-0073,
20261702,Papagayo,POC_31,Porites,11,b1,25,32,263,269,55,0070-0071,
20261702,Papagayo,POC_40,Porites,5,b4,25,32,262,270,53,0065-0067,
20261702,Papagayo,bk8,Blank,8,8,25,32,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,25,32,272,272,,,
20261702,Papagayo,POC_23,Poccilopora,3,5,26,34,261,271,67,0078-0079,
20261702,Papagayo,POC_21,Poccilopora,1,1,26,34,262,270,66,0074-0075,
20261702,Papagayo,POC_29,Poccilopora,9,7,26,34,254,261,70,0082-0083,
20261702,Papagayo,POC_22,Poccilopora,2,2,26,34,260,268,69,0076-0077,
20261702,Papagayo,POC_30,Poccilopora,4,6,26,34,264,271,68,0080-0081,
20261702,Papagayo,POR_32,Porites,12,b2,26,34,266,271,61,0090-0091,
20261702,Papagayo,POR_33,Porites,13,b3,26,34,258,265,62,0092-0093,
20261702,Papagayo,POR_37,Porites,7,a1,26,34,265,271,65,0086-0087,Delete FIRe reading 64
20261702,Papagayo,POC_31,Porites,11,b1,26,34,263,269,71,0084-0085,
20261702,Papagayo,POC_40,Porites,5,b4,26,34,262,270,63,0088-0089,
20261702,Papagayo,bk8,Blank,8,8,26,34,272,272,,,
20261702,Papagayo,bk9,Blank,10,a3,26,34,272,272,,,
